Product Type,Product Title,Variant Title,Variant ID,SKU,Price,Compare at Price,Wholesale Price
Gemstones,10x8mm Oval Amethyst Carved Scarab Cabochons,Default Title,40188766945433,090-09210-AA,54.00,,18
Gemstones,10x8mm Oval Blue Topaz Carved Scarab Cabochons,Default Title,40188767043737,171-09210-1,60.00,,20
Gemstones,10x8mm Oval Cabochon Cut Amelia Teal Amazonite™,Default Title,40188728377497,602-09510-1,24.00,,8
Gemstones,10x8mm Oval Cabochon Cut Gem Blue Mexican Chalcedony,Default Title,40188761538713,371-09510-1,69.00,,23
Gemstones,10x8mm Oval Cabochon Cut Leopard Opal,Default Title,40188756852889,402-09510-1,118.80,,39.6
Gemstones,10x8mm Oval Cabochon Cut Oregon Black Agate,Default Title,40188918562969,368-09510-B,21.00,,7
Gemstones,10x8mm Oval Cabochon Cut Oregon Butterscotch Agate,Default Title,40188920561817,368-09510-BT,21.00,,7
Gemstones,10x8mm Oval Cabochon Cut Oregon Chocolate Agate,Default Title,40188919742617,368-09510-CH,21.00,,7
Gemstones,10x8mm Oval Cabochon Cut Purple Sage Chalcedony (Dark Purple),Default Title,40188747153561,367-09510-1,114.00,,38
Gemstones,10x8mm Oval Cabochon Cut Purple Sage Chalcedony (Medium Purple),Default Title,40188748759193,367-09510-2,66.00,,22
Gemstones,10x8mm Oval Cabochon Cut Purple Sage Chalcedony (Smoky Purple),Default Title,40188749676697,367-09510-3,39.00,,13
Gemstones,10x8mm Oval Cut Natural Arkansas White Quartz,Default Title,40188444246169,098-00110-1,25.50,,8.5
Gemstones,10x8mm Oval Cut Natural Color Change Sphene,Default Title,40212848738457,E146-00101-2T3_2-04,612.00,
Gemstones,10x8mm Oval Cut Natural Pinkish-Red Nyala Ruby,Default Title,40212846968985,031-00101-2T3R00A,54101.25,
Gemstones,10x8mm Oval Cut Natural Red Nyala Ruby,Default Title,40212846903449,031-00101-1T2R00Q,12800.00,
Gemstones,10x8mm Oval Cut Tashmarine,Default Title,40212889993369,215-00110-1_2-79,1046.25,
Gemstones,10x8mm Oval Fancy Cut Oregon Sunstone,Default Title,40188602876057,230-00110-FCY,461.49,,153.83
Gemstones,10x8mm Oval Imperial Diopside®,Default Title,40188773433497,210-00110-1,714.00,,238
Gemstones,10x8mm Oval Mesa Verde® Peridot Carved Scarab Cabochons,Default Title,40188766879897,160-09210-1,60.00,,20
Gemstones,10x8mm Oval Montana Amethyst,Default Title,40188880945305,093-00110-1,128.10,,42.7
Gemstones,10x8mm Oval Natural Brazilian Green Quartz,Default Title,40188812394649,125-00110-1,122.85,,40.95
Gemstones,10x8mm Oval Natural Mesa Verde® Peridot,Default Title,40188671557785,160-00110-1,253.50,,84.5
Gemstones,10x8mm Oval Natural Oregon Sunstone,Default Title,40188604973209,230-00110-1,389.73,,129.91
Gemstones,10x8mm Oval Natural Red Clearwater Idaho Garnet,Default Title,40188377923737,048-00110-1,157.50,,52.5
Gemstones,10x8mm Oval Natural Red/Orange Mexican Fire Opal,Default Title,40188784967833,405-00110-1,630.00,,210
Gemstones,10x8mm Oval Natural Straw Yellow Oregon Sunstone,Default Title,40188912599193,231-00110-1C,45.00,,15
Gemstones,10x8mm Oval Red/Orange Mexican Fire Opal,Default Title,40212826128537,405-00110-1_1-89,680.40,
Gemstones,10x8mm Oval Red Zircon,Default Title,40188871934105,137-00110-1,1374.45,,549.78
Gemstones,10x8mm Oval Rose Cut Gem Blue Mexican Chalcedony,Default Title,40188759244953,371-10310-1,87.00,,29
Gemstones,10x8mm Oval Rose Cut Green Quartz,Default Title,40188844933273,125-10310-1,120.00,,40
Gemstones,10x8mm Oval Rose Cut Purple Sage Chalcedony (Dark Purple),Default Title,40188756033689,367-10310-1,114.00,,38
Gemstones,10x8mm Oval Rose Cut Purple Sage Chalcedony (Medium Purple),Default Title,40188755280025,367-10310-2,75.00,,25
Gemstones,10x8mm Oval Sky Blue Topaz,Default Title,40188674965657,171-00110-1,90.00,,30
Gemstones,10x8mm Oval Swiss Blue Topaz,Default Title,40188863774873,170-00110-1,180.00,,60
